granularity,category,feature_set,reference,duplicate_of_A_lag1,block,point_pct,ci_lo_pct,ci_hi_pct,p_boot,ci_excludes_zero
weekly,R03,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,3.1408023130366836,-3.1083714881506985,8.589606468525405,0.322,False
weekly,R03,B_rich,Naive,True,4,-8.474252040156937,-22.733341463855187,5.749949552115389,0.192,False
weekly,R03,B_rich,S1 [linear],True,4,0.0,0.0,0.0,1.0,False
weekly,R03,B_rich,XGBoost,True,4,-0.070024170036731,-5.359937451366862,5.064831986558166,0.971,False
weekly,R03,B_rich,"LR-XGB (residual, tanpa gerbang)",True,4,3.1408023130366836,-3.489766672882269,8.528992695352283,0.313,False
weekly,R06,A_lag1,Naive,False,4,-5.165740853906398,-14.52725903027862,4.912449459776082,0.271,False
weekly,R06,A_lag1,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,R06,A_lag1,XGBoost,False,4,-9.227270961239132,-21.633078687049565,4.651216555142232,0.211,False
weekly,R06,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,-10.21918964809353,-22.663642158350026,3.966901822648844,0.175,False
weekly,R06,B_rich,Naive,True,4,-5.165740853906398,-14.080736054544618,5.255026511119046,0.269,False
weekly,R06,B_rich,S1 [linear],True,4,0.0,0.0,0.0,1.0,False
weekly,R06,B_rich,XGBoost,True,4,-9.227270961239132,-21.603629836920767,5.079212682925672,0.205,False
weekly,R06,B_rich,"LR-XGB (residual, tanpa gerbang)",True,4,-10.21918964809353,-22.59311900187763,4.117697383734659,0.166,False
