model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR,N05C,B_rich,acf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,1.6328380334848944,1.2778255097957993,0.8435138580167302,0.02268406858896721,2.006186050379405,166.4662038517874,0.6325619685318218,1.3157798107060052,1.1470744573505267,0.8571858049201146,-0.02210482374430267,1.611002348990073,157.0940017377655,0.6141574023080745,0.014
LR-XGB (residual),N05C,B_rich,acf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,1.6421197038335154,1.281452185543228,0.8411689451717003,0.017128634359858452,2.011879931302868,168.17285953585875,0.6702855255126992,1.4270949294255526,1.1946107857480412,0.8727272986649869,-0.10857500581668966,1.677764481317249,158.93397025986246,0.6469173243162316,6.762
LR,R03,B_rich,acf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,55.86248272495644,7.474120866359899,5.098668280401342,-0.05072559365971152,1.0759045232050122,89.90307176351305,1.534883973521318,68.69126047976773,8.288019092628089,5.640236283663765,-0.044864664075809024,1.1272547554680319,91.40346584251877,1.8249838135443173,0.012
LR-XGB (residual),R03,B_rich,acf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,55.43221215249403,7.445281200364029,5.0996326770201525,-0.042632571641503025,1.071753034669105,89.79618600545632,1.64275653844751,70.5873331035046,8.401626812915735,5.716989898731606,-0.07370587722617317,1.14270655903181,91.76611491024876,1.9813444919931829,6.576
LR,R06,B_rich,acf_train,3,2,1472,315,317,2014-01-04,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,6.308962436506677,2.5117648051731827,1.9168471211009206,0.17885827069999594,0.7146007167896972,65.9220839742106,1.2870276659415942,6.0080238652890605,2.4511270602090502,1.8592343029678338,0.15635228819894909,0.6808865270610592,61.99907963906258,0.9654917668852949,0.01
LR-XGB (residual),R06,B_rich,acf_train,3,2,1472,315,317,2014-01-04,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,6.424515152549832,2.5346627295460498,1.9222452117822808,0.16381853032558236,0.7211152093632639,66.18705916272087,1.3189444343699295,6.155340799816151,2.4809959290204713,1.897331190864664,0.13566601971700032,0.6891836531800604,62.769037587160916,0.9932500875902383,8.896
LR,M01AB,B_rich,acf_full,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,7.442786435810292,2.728147070047781,2.185798764972568,-0.022233094467990933,0.5531401022995662,47.61426106789995,1.3504585475198418,8.400351597607187,2.898336004953047,2.236141093834342,0.001072297548633916,0.5456107006832026,46.47373967143005,1.7875246967691256,0.016
LR-XGB (residual),M01AB,B_rich,acf_full,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.662151093074297,2.7680590841010417,2.227152517250457,-0.05236183917212145,0.561232384339191,48.3880015138046,1.347079615013882,8.470201254639736,2.910361017921958,2.246003350747022,-0.007233873521207412,0.5478744050088847,46.79572882290645,1.8648842219551223,8.873
LR,M01AE,B_rich,acf_full,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,3.934561806461566,1.9835729899506007,1.5743254704515783,0.01385098444344135,0.5153506145398039,43.56215131673077,8.434382999794897,4.856345237065359,2.2037116955412652,1.6713108552094034,0.12293534705692466,0.5734376262622455,48.34324197794973,3.7269255660282594,0.017
LR-XGB (residual),M01AE,B_rich,acf_full,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.129741278155285,2.032176487944707,1.6274703377367903,-0.035068324322153455,0.5279782529917021,44.80302698506633,8.428095608979024,4.786263456138328,2.1877530610510703,1.672102660563644,0.1355922422869562,0.5692849589696228,48.47818665815079,3.7853390113400516,8.223
LR,N02BA,B_rich,acf_full,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,4.789810956786172,2.188563674373257,1.7914214553814487,-0.10704132351150575,0.696683894721414,60.597930765360616,3.047673001996617,4.296238301530776,2.072736910833301,1.6682097917638372,-0.10999126432569484,0.6755555297027726,57.805262288647874,4.129715966043202,0.011
LR-XGB (residual),N02BA,B_rich,acf_full,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.8390764121527505,2.199790083656336,1.7857223938722773,-0.11842776347844097,0.7002575894850868,60.384311762230894,2.9812349543333982,4.346998453930056,2.08494567169748,1.6766633679592562,-0.12310583614052328,0.6795346627367373,57.94404126054411,4.164397983079085,7.122
LR,N02BE,B_rich,acf_full,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,131.59570924871724,11.471517303683818,8.999397726523645,0.2883366698110066,0.38416403327059245,31.446338459762437,0.529807391626771,162.48508113220595,12.74696360441207,9.542995028249289,0.4158545006230979,0.4327810165109685,34.53179270161936,0.5049625638981116,0.011
