model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
SeasonalNaive(s=52),M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},0,none,42,129.6039682534853,11.384373863040746,8.50768518511111,-1.6373499762289798,0.33052900701117705,24.06189369717972,0.38650617731179043,115.75853111111113,10.759113862726387,9.071777777777777,-0.5690489245092532,0.29257747041816734,26.511852462194813,0.5543948566692719,0.0,
LR,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,{},1,none,42,53.0614683834258,7.284330331844225,5.794794692892386,-0.07976371607695354,0.21149010918750533,16.615655355185332,0.21859074434320744,75.19148156849673,8.671302184129944,6.475317760284488,-0.01918288142464908,0.2358026590882624,18.69895700095755,0.5749275958283854,0.009,
GRNN,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""sigma"": 10.0}",16,standard,42,49.464057753764976,7.033068871677923,5.714487051669781,-0.006558929476087272,0.2041950921819092,16.397506635112688,0.21738135351730992,77.05464334253449,8.778077428602147,6.469592643741022,-0.04443710631572584,0.2387062468120791,18.694352472334245,0.5685982266822008,0.018,
P_NN,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""sigma"": 1.5}",16,standard,42,51.11551014968223,7.1495111825692135,5.329743333333332,-0.04016482901611562,0.20757582807972916,15.268433267802026,0.1978171069684622,84.33018081048223,9.183146563704744,7.127144666666666,-0.1430533735552677,0.2497214757988612,20.673599110484133,0.5351017661437029,0.028,
RBFNN,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""alpha"": 1.0, ""gamma"": 0.01, ""n_centers"": 5}",60,standard,42,52.308997841497984,7.232495962079619,5.791046227800095,-0.06445146759714704,0.2099851724230016,16.614373315658234,0.21984095056099257,73.96699188143228,8.600406495127558,6.30963712833224,-0.0025855368650762323,0.2338747604140295,18.22827932718816,0.5797721597672054,5.671,
XGBoost,M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,66.26731672822334,8.140473986705157,6.357846669514973,-0.34849348020050464,0.23634701528567875,18.09696871042473,0.23805226168622073,82.04073466536177,9.057634054506826,6.798825690375434,-0.11202107747097245,0.24630835712426635,19.699105700147648,0.5557266108384038,5.033,
LR+XGB (average),M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,57.053633519247946,7.553385566701063,5.903491221675699,-0.16100148038267403,0.21930174298293978,16.904068143010157,0.22390101621928588,78.96156579412937,8.886032061281872,6.61222330232789,-0.07028448527845255,0.2416419061751405,19.159189717075186,0.5566585131207514,5.517,
LR-XGB (residual),M01AB,B_rich,pacf_train,3,2,210,45,45,2014-01-19,2018-01-21,2018-01-28,2018-12-02,2018-12-09,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,60.910347510206,7.8045081529976,6.116983788989806,-0.2394829087636423,0.22659272798441993,17.49156164303929,0.22843520002419676,83.20549244919212,9.121704470612503,6.832333635787778,-0.1278087859922441,0.24805065305235202,19.76377531461688,0.566887830152261,4.777,
Naive,M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,45.908203888888885,6.775559304506816,5.5056222222222235,-0.5028531878042071,0.2521991261150493,20.14832613520521,0.2609274473557304,99.00320602173912,9.950035478416101,7.71463043478261,0.05536256982834331,0.37592019383774017,30.265748716527487,0.717837483642111,0.0,
SeasonalNaive(s=52),M01AE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,57.89583167521637,7.608931046817047,5.9298259259999995,-0.8952807520908783,0.28321879780470843,22.669814585063577,0.28705822779927387,110.82956356521738,10.527562090304544,7.920347826086957,-0.05747842236850964,0.3977396050708463,29.493879602230432,0.6388227637679597,0.0,
