config,stage1,learner,setting,subsampled,val_r2,test_r2_refit,is_best_on_val,runtime_s
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.06315770055569,,False,0.45
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.0805914685989506,,False,0.76
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0623103644530949,,False,0.36
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1003431976378654,,False,0.71
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1134283293433937,,False,0.81
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0557639668259886,,False,0.12
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.0838994761353895,,False,0.33
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.1032614163607834,,False,0.54
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0839924222277386,,False,0.17
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.1228658358896983,,False,0.5
